model_type,max_length,hidden_size,kernel_size,num_layers,epoch,batch_size,pooling_style,optimizer,learning_rate,class_num,vocab_size,acc
gated_cnn,30,128,3,6,15,128,max,adam,1e-05,2,4622,0.6736188357434186
gated_cnn,30,256,3,6,15,64,avg,adam,1e-05,2,4622,0.7129217649239896
gated_cnn,30,256,3,6,15,64,max,adam,1e-05,2,4622,0.7557471264367817
gated_cnn,30,256,3,6,15,128,avg,adam,1e-05,2,4622,0.6733407489803486
gated_cnn,30,256,3,6,15,128,max,adam,1e-05,2,4622,0.7367445309603263
gated_cnn,30,512,3,6,15,64,avg,adam,1e-05,2,4622,0.7620504263997033
gated_cnn,30,512,3,6,15,64,max,adam,1e-05,2,4622,0.8197997775305895
gated_cnn,30,512,3,6,15,128,avg,adam,1e-05,2,4622,0.7370226177233964
gated_cnn,30,512,3,6,15,128,max,adam,1e-05,2,4622,0.8084909158324064
fast_text,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.8268446421950315
fast_text,30,64,3,6,15,64,max,adam,0.001,2,4622,0.7579718205413423
fast_text,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.7768817204301075
fast_text,30,64,3,6,15,128,max,adam,0.001,2,4622,0.7008713385242863
fast_text,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.8348164627363738
fast_text,30,128,3,6,15,64,max,adam,0.001,2,4622,0.8042269187986651
fast_text,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.8134964775676677
fast_text,30,128,3,6,15,128,max,adam,0.001,2,4622,0.7841119762699296
fast_text,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.8424175009269559
fast_text,30,256,3,6,15,64,max,adam,0.001,2,4622,0.8186874304783093
fast_text,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.8238783833889507
fast_text,30,256,3,6,15,128,max,adam,0.001,2,4622,0.7908787541713015
fast_text,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.8399147200593252
fast_text,30,512,3,6,15,64,max,adam,0.001,2,4622,0.8087690025954765
fast_text,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.8340748980348536
fast_text,30,512,3,6,15,128,max,adam,0.001,2,4622,0.8133110863922878
fast_text,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.6792732665925102
fast_text,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.6577678902484242
fast_text,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.5601594364108269
fast_text,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.3337041156840934
fast_text,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.700037078235076
fast_text,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.7002224694104561
fast_text,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.6276418242491657
fast_text,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.6523915461624027
fast_text,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.7112532443455691
fast_text,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.7191323692992213
fast_text,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.710418984056359
fast_text,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.6909529106414535
fast_text,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.7548201705598814
fast_text,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.7379495736002967
fast_text,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.6944753429736744
fast_text,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.6954022988505747
fast_text,30,64,3,6,15,64,avg,adam,1e-05,2,4622,0.33472376714868374
fast_text,30,64,3,6,15,64,max,adam,1e-05,2,4622,0.6688913607712272
fast_text,30,64,3,6,15,128,avg,adam,1e-05,2,4622,0.4625509825732295
fast_text,30,64,3,6,15,128,max,adam,1e-05,2,4622,0.33472376714868374
fast_text,30,128,3,6,15,64,avg,adam,1e-05,2,4622,0.5831479421579533
fast_text,30,128,3,6,15,64,max,adam,1e-05,2,4622,0.3779199110122358
fast_text,30,128,3,6,15,128,avg,adam,1e-05,2,4622,0.5984427141268076
fast_text,30,128,3,6,15,128,max,adam,1e-05,2,4622,0.6662958843159066
fast_text,30,256,3,6,15,64,avg,adam,1e-05,2,4622,0.4974045235446793
fast_text,30,256,3,6,15,64,max,adam,1e-05,2,4622,0.664071190211346
fast_text,30,256,3,6,15,128,avg,adam,1e-05,2,4622,0.4788654060066741
fast_text,30,256,3,6,15,128,max,adam,1e-05,2,4622,0.5416203188728217
fast_text,30,512,3,6,15,64,avg,adam,1e-05,2,4622,0.5825917686318132
fast_text,30,512,3,6,15,64,max,adam,1e-05,2,4622,0.6629588431590656
fast_text,30,512,3,6,15,128,avg,adam,1e-05,2,4622,0.6490545050055617
fast_text,30,512,3,6,15,128,max,adam,1e-05,2,4622,0.6592510196514646
lstm,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.6662958843159066
lstm,30,64,3,6,15,64,max,adam,0.001,2,4622,0.6662958843159066
lstm,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.6662958843159066
lstm,30,64,3,6,15,128,max,adam,0.001,2,4622,0.6662958843159066
lstm,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.6662958843159066
lstm,30,128,3,6,15,64,max,adam,0.001,2,4622,0.6662958843159066
lstm,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.6662958843159066
lstm,30,128,3,6,15,128,max,adam,0.001,2,4622,0.6662958843159066
lstm,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.6662958843159066
lstm,30,256,3,6,15,64,max,adam,0.001,2,4622,0.6662958843159066
lstm,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.6662958843159066
lstm,30,256,3,6,15,128,max,adam,0.001,2,4622,0.6662958843159066
lstm,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.8235076010381905
lstm,30,512,3,6,15,64,max,adam,0.001,2,4622,0.6378383388950686
lstm,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.7721542454579162
lstm,30,512,3,6,15,128,max,adam,0.001,2,4622,0.6207823507601038
lstm,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.6662958843159066
lstm,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.6662958843159066
lstm,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.6662958843159066
lstm,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.6662958843159066
lstm,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.6662958843159066
lstm,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.6662958843159066
lstm,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.6662958843159066
lstm,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.6662958843159066
lstm,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.6662958843159066
lstm,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.6662958843159066
lstm,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.6662958843159066
lstm,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.6662958843159066
lstm,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.6662958843159066
lstm,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.6662958843159066
lstm,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.6662958843159066
lstm,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.6662958843159066
lstm,30,64,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
lstm,30,64,3,6,15,64,max,adam,1e-05,2,4622,0.6662958843159066
lstm,30,64,3,6,15,128,avg,adam,1e-05,2,4622,0.3337041156840934
lstm,30,64,3,6,15,128,max,adam,1e-05,2,4622,0.6637931034482759
lstm,30,128,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
lstm,30,128,3,6,15,64,max,adam,1e-05,2,4622,0.6662958843159066
lstm,30,128,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
lstm,30,128,3,6,15,128,max,adam,1e-05,2,4622,0.6512791991101223
lstm,30,256,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
lstm,30,256,3,6,15,64,max,adam,1e-05,2,4622,0.6662958843159066
lstm,30,256,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
lstm,30,256,3,6,15,128,max,adam,1e-05,2,4622,0.6662958843159066
lstm,30,512,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
lstm,30,512,3,6,15,64,max,adam,1e-05,2,4622,0.6611976269929551
lstm,30,512,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
lstm,30,512,3,6,15,128,max,adam,1e-05,2,4622,0.6637931034482759
gru,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.6616611049314053
gru,30,64,3,6,15,64,max,adam,0.001,2,4622,0.6662958843159066
gru,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.6662958843159066
gru,30,64,3,6,15,128,max,adam,0.001,2,4622,0.6662958843159066
gru,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.8388950685947348
gru,30,128,3,6,15,64,max,adam,0.001,2,4622,0.6662958843159066
gru,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.6662958843159066
gru,30,128,3,6,15,128,max,adam,0.001,2,4622,0.6662958843159066
gru,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.71431219873934
gru,30,256,3,6,15,64,max,adam,0.001,2,4622,0.7059695958472376
gru,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.8138672599184279
gru,30,256,3,6,15,128,max,adam,0.001,2,4622,0.6662958843159066
gru,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.7980163144234335
gru,30,512,3,6,15,64,max,adam,0.001,2,4622,0.7807749351130886
gru,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.7760474601408973
gru,30,512,3,6,15,128,max,adam,0.001,2,4622,0.7684464219503152
gru,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.6662958843159066
gru,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.6662958843159066
gru,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.6637931034482759
gru,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.6662958843159066
gru,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.6662958843159066
gru,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.6611976269929551
gru,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.6662958843159066
gru,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.6662958843159066
gru,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.6662958843159066
gru,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.6662958843159066
gru,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.6662958843159066
gru,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.6662958843159066
gru,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.6662958843159066
gru,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.6662958843159066
gru,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.6662958843159066
gru,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.6662958843159066
gru,30,64,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
gru,30,64,3,6,15,64,max,adam,1e-05,2,4622,0.6553578049684835
gru,30,64,3,6,15,128,avg,adam,1e-05,2,4622,0.6443270300333704
gru,30,64,3,6,15,128,max,adam,1e-05,2,4622,0.6662958843159066
gru,30,128,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
gru,30,128,3,6,15,64,max,adam,1e-05,2,4622,0.6611976269929551
gru,30,128,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
gru,30,128,3,6,15,128,max,adam,1e-05,2,4622,0.6587875417130145
gru,30,256,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
gru,30,256,3,6,15,64,max,adam,1e-05,2,4622,0.6662958843159066
gru,30,256,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
gru,30,256,3,6,15,128,max,adam,1e-05,2,4622,0.6662958843159066
gru,30,512,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
gru,30,512,3,6,15,64,max,adam,1e-05,2,4622,0.6662958843159066
gru,30,512,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
gru,30,512,3,6,15,128,max,adam,1e-05,2,4622,0.6662958843159066
rnn,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.7390619206525769
rnn,30,64,3,6,15,64,max,adam,0.001,2,4622,0.7839265850945495
rnn,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.7908787541713015
rnn,30,64,3,6,15,128,max,adam,0.001,2,4622,0.7673340748980348
rnn,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.692992213570634
rnn,30,128,3,6,15,64,max,adam,0.001,2,4622,0.7955135335558028
rnn,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.7798479792361883
rnn,30,128,3,6,15,128,max,adam,0.001,2,4622,0.7844827586206896
rnn,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.7712272895810159
rnn,30,256,3,6,15,64,max,adam,0.001,2,4622,0.7706711160548758
rnn,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.8300889877641824
rnn,30,256,3,6,15,128,max,adam,0.001,2,4622,0.8125695216907676
rnn,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.6734334445680386
rnn,30,512,3,6,15,64,max,adam,0.001,2,4622,0.8075639599555061
rnn,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.6415461624026696
rnn,30,512,3,6,15,128,max,adam,0.001,2,4622,0.7388765294771968
rnn,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.6662958843159066
rnn,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.7172784575454209
rnn,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.6662958843159066
rnn,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.6662958843159066
rnn,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.7850389321468298
rnn,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.7469410456062291
rnn,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.7089358546533185
rnn,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.7171857619577308
rnn,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.7708565072302559
rnn,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.7884686688913608
rnn,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.7853170189098999
rnn,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.757044864664442
rnn,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.7720615498702261
rnn,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.8038561364479051
rnn,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.8082128290693363
rnn,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.7916203188728217
rnn,30,64,3,6,15,64,avg,adam,1e-05,2,4622,0.6611976269929551
rnn,30,64,3,6,15,64,max,adam,1e-05,2,4622,0.6662958843159066
rnn,30,64,3,6,15,128,avg,adam,1e-05,2,4622,0.6562847608453838
rnn,30,64,3,6,15,128,max,adam,1e-05,2,4622,0.6662958843159066
rnn,30,128,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
rnn,30,128,3,6,15,64,max,adam,1e-05,2,4622,0.6662958843159066
rnn,30,128,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
rnn,30,128,3,6,15,128,max,adam,1e-05,2,4622,0.6662958843159066
rnn,30,256,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
rnn,30,256,3,6,15,64,max,adam,1e-05,2,4622,0.6662958843159066
rnn,30,256,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
rnn,30,256,3,6,15,128,max,adam,1e-05,2,4622,0.6662958843159066
rnn,30,512,3,6,15,64,avg,adam,1e-05,2,4622,0.7057842046718577
rnn,30,512,3,6,15,64,max,adam,1e-05,2,4622,0.667871709306637
rnn,30,512,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
rnn,30,512,3,6,15,128,max,adam,1e-05,2,4622,0.6661104931405265
rcnn,30,64,3,6,15,64,avg,adam,0.001,2,4622,0.8203559510567296
rcnn,30,64,3,6,15,64,max,adam,0.001,2,4622,0.8352799406748239
rcnn,30,64,3,6,15,128,avg,adam,0.001,2,4622,0.8245272525027809
rcnn,30,64,3,6,15,128,max,adam,0.001,2,4622,0.8291620318872822
rcnn,30,128,3,6,15,64,avg,adam,0.001,2,4622,0.7923618835743419
rcnn,30,128,3,6,15,64,max,adam,0.001,2,4622,0.8305524657026325
rcnn,30,128,3,6,15,128,avg,adam,0.001,2,4622,0.8183166481275491
rcnn,30,128,3,6,15,128,max,adam,0.001,2,4622,0.8445494994438265
rcnn,30,256,3,6,15,64,avg,adam,0.001,2,4622,0.7740081572117167
rcnn,30,256,3,6,15,64,max,adam,0.001,2,4622,0.8316648127549129
rcnn,30,256,3,6,15,128,avg,adam,0.001,2,4622,0.8017241379310345
rcnn,30,256,3,6,15,128,max,adam,0.001,2,4622,0.832313681868743
rcnn,30,512,3,6,15,64,avg,adam,0.001,2,4622,0.7887467556544309
rcnn,30,512,3,6,15,64,max,adam,0.001,2,4622,0.8427882832777159
rcnn,30,512,3,6,15,128,avg,adam,0.001,2,4622,0.7560252131998517
rcnn,30,512,3,6,15,128,max,adam,0.001,2,4622,0.8331479421579533
rcnn,30,64,3,6,15,64,avg,adam,0.0001,2,4622,0.6901186503522432
rcnn,30,64,3,6,15,64,max,adam,0.0001,2,4622,0.7716907675194661
rcnn,30,64,3,6,15,128,avg,adam,0.0001,2,4622,0.6662958843159066
rcnn,30,64,3,6,15,128,max,adam,0.0001,2,4622,0.674916573971079
rcnn,30,128,3,6,15,64,avg,adam,0.0001,2,4622,0.8125695216907676
rcnn,30,128,3,6,15,64,max,adam,0.0001,2,4622,0.825176121616611
rcnn,30,128,3,6,15,128,avg,adam,0.0001,2,4622,0.7398961809417872
rcnn,30,128,3,6,15,128,max,adam,0.0001,2,4622,0.7915276232851316
rcnn,30,256,3,6,15,64,avg,adam,0.0001,2,4622,0.8218390804597702
rcnn,30,256,3,6,15,64,max,adam,0.0001,2,4622,0.8523359288097887
rcnn,30,256,3,6,15,128,avg,adam,0.0001,2,4622,0.8139599555061179
rcnn,30,256,3,6,15,128,max,adam,0.0001,2,4622,0.8405635891731553
rcnn,30,512,3,6,15,64,avg,adam,0.0001,2,4622,0.832128290693363
rcnn,30,512,3,6,15,64,max,adam,0.0001,2,4622,0.8479792361883575
rcnn,30,512,3,6,15,128,avg,adam,0.0001,2,4622,0.8262884686688914
rcnn,30,512,3,6,15,128,max,adam,0.0001,2,4622,0.8518724508713386
rcnn,30,64,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
rcnn,30,64,3,6,15,64,max,adam,1e-05,2,4622,0.6669447534297367
rcnn,30,64,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
rcnn,30,64,3,6,15,128,max,adam,1e-05,2,4622,0.49786800148312943
rcnn,30,128,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
rcnn,30,128,3,6,15,64,max,adam,1e-05,2,4622,0.6662958843159066
rcnn,30,128,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
rcnn,30,128,3,6,15,128,max,adam,1e-05,2,4622,0.6663885799035966
rcnn,30,256,3,6,15,64,avg,adam,1e-05,2,4622,0.6662958843159066
rcnn,30,256,3,6,15,64,max,adam,1e-05,2,4622,0.6776974416017798
rcnn,30,256,3,6,15,128,avg,adam,1e-05,2,4622,0.6662958843159066
rcnn,30,256,3,6,15,128,max,adam,1e-05,2,4622,0.6672228401928069
rcnn,30,512,3,6,15,64,avg,adam,1e-05,2,4622,0.7645532072673341
rcnn,30,512,3,6,15,64,max,adam,1e-05,2,4622,0.7886540600667408
rcnn,30,512,3,6,15,128,avg,adam,1e-05,2,4622,0.6683351872450871
rcnn,30,512,3,6,15,128,max,adam,1e-05,2,4622,0.7373007044864665
